id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,21180,532,75,90,338,569.625,146.65625,1.0539827346801758,0.9825431704521179,0,0,744,494
1,70123,0,359,743,133,197.625,439.96875,1.0358284711837769,0.9911655187606812,0,0,744,494
2,19681,195,109,121,199,197.625,223.84375,1.0296411514282227,0.9741002917289734,0,0,744,494
3,34075,161,42,155,401,220.875,254.71875,1.0262439250946045,0.9839767217636108,0,0,744,494
4,8624,169,275,112,150,244.125,393.65625,1.0147510766983032,0.9892783164978027,0,0,744,494
5,40167,0,0,290,316,197.625,301.03125,1.0085855722427368,0.9620385766029358,0,0,744,494
6,860,214,413,35,30,244.125,439.96875,1.0041488409042358,0.9907621145248413,0,0,744,494
7,1086,252,42,46,40,267.375,69.46875,1.0023901462554932,0.9917582273483276,0,0,744,494
8,1753,0,0,53,43,11.625,23.15625,0.9995183944702148,0.9863868355751038,0,0,744,494
9,9886,146,32,134,249,174.375,38.59375,0.9949920177459717,0.9662619233131409,0,0,744,494
10,4623,532,84,84,188,546.375,162.09375,0.9911011457443237,0.9716357588768005,0,0,744,494
11,592,0,0,33,19,11.625,7.71875,0.9879970550537109,0.9782244563102722,0,0,744,494
12,4479,531,50,86,95,592.875,69.46875,0.9860022068023682,0.9634093046188354,0,0,744,494
13,1136,0,16,53,28,34.875,23.15625,0.9851933121681213,0.9817073345184326,0,0,744,494
14,8725,393,112,90,98,453.375,115.78125,0.9828499555587769,0.9572283029556274,0,0,744,494
15,7709,145,31,110,111,151.125,38.59375,0.981245219707489,0.9571846127510071,0,0,744,494
16,3442,0,0,80,66,58.125,54.03125,0.9806101322174072,0.9804090857505798,0,0,744,494
17,355,260,138,12,46,267.375,162.09375,0.979433655738831,0.9859943985939026,0,0,744,494
18,1259,0,170,58,27,11.625,192.96875,0.9790893793106079,0.9810874462127686,0,0,744,494
19,6553,656,117,78,88,662.625,131.21875,0.9777930974960327,0.9721465110778809,0,0,744,494
20,499,0,121,21,29,11.625,146.65625,0.9776213765144348,0.9920159578323364,0,0,744,494
21,966,169,398,36,41,174.375,424.53125,0.9775460958480835,0.980512797832489,0,0,744,494
22,1850,253,69,45,71,267.375,131.21875,0.9772285223007202,0.9581345915794373,0,0,744,494
23,8250,288,306,93,108,360.375,316.46875,0.9771687984466553,0.9747698307037354,0,0,744,494
24,3972,149,178,46,105,151.125,254.71875,0.9747694730758667,0.9731343388557434,0,0,744,494
25,872,415,172,49,23,453.375,177.53125,0.9741849899291992,0.9839816689491272,0,0,744,494
26,860,416,39,48,23,453.375,54.03125,0.9740367531776428,0.9804597496986389,0,0,744,494
27,1210,160,372,45,67,174.375,424.53125,0.9714068174362183,0.9731707572937012,0,0,744,494
28,696,675,171,42,21,685.875,177.53125,0.970766007900238,0.9745762944221497,0,0,744,494
29,23193,294,0,87,316,360.375,301.03125,0.9698487520217896,0.9642355442047119,0,0,744,494
30,5558,393,0,93,80,430.125,69.46875,0.9673589468002319,0.9584726095199585,0,0,744,494
31,714,681,50,42,22,709.125,54.03125,0.966179609298706,0.9764543175697327,0,0,744,494
32,1030,173,100,57,25,220.875,115.78125,0.9644210934638977,0.9807876944541931,0,0,744,494
33,2943,0,309,202,22,104.625,316.46875,0.9621492624282837,0.9705192446708679,0,0,744,494
34,6737,0,103,85,111,58.125,177.53125,0.9621118307113647,0.9530434608459473,0,0,744,494
35,50921,0,283,743,131,616.125,331.90625,0.9620628952980042,0.9546687602996826,0,0,744,494
36,176,562,68,16,23,569.625,69.46875,0.9579285979270935,1.0,0,0,744,494
37,23924,376,283,367,102,476.625,378.21875,0.9569501876831055,0.9787049293518066,0,0,744,494
38,302,684,134,15,23,685.875,146.65625,0.9565345644950867,0.9771241545677185,0,0,744,494
39,2525,0,121,58,76,11.625,192.96875,0.9565067291259766,0.9692367315292358,0,0,744,494
40,759,690,11,25,41,709.125,38.59375,0.9553139209747314,0.9637305736541748,0,0,744,494
41,2103,173,53,57,72,174.375,115.78125,0.952666163444519,0.971361517906189,0,0,744,494
42,18793,0,309,288,106,81.375,378.21875,0.9507728815078735,0.953726053237915,0,0,744,494
43,370,260,138,12,135,267.375,177.53125,0.9498425722122192,0.9630606770515442,0,0,744,494
44,669,0,207,85,7,58.125,208.40625,0.9481872916221619,0.9895833134651184,0,0,744,494
45,374,424,130,25,24,430.125,146.65625,0.9458817839622498,0.9506493210792542,0,0,744,494
46,1368,676,134,41,58,685.875,177.53125,0.9458140134811401,0.9612625241279602,0,0,744,494
47,1531,680,11,43,61,709.125,54.03125,0.9448728561401367,0.9620822668075562,0,0,744,494
48,319,424,0,18,20,430.125,7.71875,0.9425321817398071,0.9844720363616943,0,0,744,494
49,483,181,53,30,27,197.625,54.03125,0.9411527514457703,0.9572301506996155,0,0,744,494
50,346,690,11,23,25,709.125,23.15625,0.9409520626068115,0.9658119678497314,0,0,744,494
51,1707,415,130,49,65,430.125,192.96875,0.9399764537811279,0.9604584574699402,0,0,744,494
52,1106,264,0,25,46,267.375,7.71875,0.9398095607757568,0.9655172228813171,0,0,744,494
53,446,181,53,20,27,197.625,69.46875,0.9371350407600403,0.9866962432861328,0,0,744,494
54,554,5,155,34,18,34.875,162.09375,0.9347976446151733,0.9786477088928223,0,0,744,494
55,626,393,203,89,8,406.875,208.40625,0.9310686588287354,0.9748031497001648,0,0,744,494
56,206,264,245,9,30,267.375,270.15625,0.9302234053611755,0.9759615659713745,0,0,744,494
57,389,427,22,27,19,430.125,38.59375,0.927828848361969,0.9526184797286987,0,0,744,494
58,829,564,73,35,55,569.625,84.90625,0.926419734954834,0.9563679099082947,0,0,744,494
59,60,22,489,12,4,34.875,486.28125,0.9251973628997803,0.9523809552192688,0,0,744,494
60,678,0,121,39,35,11.625,146.65625,0.9236259460449219,0.9709724187850952,0,0,744,494
61,517,186,82,30,20,197.625,100.34375,0.9215919971466064,0.9659090638160706,0,0,744,494
62,423,424,0,28,27,430.125,7.71875,0.9214980602264404,0.9651972055435181,0,0,744,494
63,1671,416,0,48,62,430.125,54.03125,0.9168117046356201,0.9526038765907288,0,0,744,494
64,1260,416,25,49,37,430.125,38.59375,0.9158979654312134,0.9655981063842773,0,0,744,494
65,376,426,157,26,17,430.125,162.09375,0.9012995362281799,0.9685863852500916,0,0,744,494